Speaker,Time,Sex,Date,Club,TT,ON_OFF
Victoria,102,0,11/24/2020,Chamber,,0
Ivan,132,1,11/24/2020,Chamber,,0
Ihor,70,1,11/24/2020,Chamber,,0
Kevin,118,1,11/24/2020,Chamber,,0
Fedor,162,1,11/24/2020,Chamber,,0
Dennis,116,1,11/24/2020,Chamber,,0
Genia,143,0,11/24/2020,Chamber,,0
Alex,109,1,11/24/2020,Chamber,,0
Dounia,130,0,11/24/2020,Chamber,,0
Kostya,78,1,12/1/2020,Chamber,0,0
Fedor,145,1,12/1/2020,Chamber,0,0
Ram,80,1,12/1/2020,Chamber,0,0
Liliya,63,0,12/1/2020,Chamber,0,0
Ihor,83,1,12/1/2020,Chamber,0,0
Khrystyna,73,0,12/1/2020,Chamber,0,0
Narjess,68,0,12/1/2020,Chamber,1,0
Genia,51,0,12/1/2020,Chamber,0,0
Ivan,101,1,12/1/2020,Chamber,0,0
Dounia,120,0,12/8/2020,Chamber,,0
Dennis,90,1,12/8/2020,Chamber,,0
Fedor,107,1,12/8/2020,Chamber,,0
Marwan,29,1,12/8/2020,Chamber,,0
Inci,29,1,12/8/2020,Chamber,,0
Kostya,89,1,12/8/2020,Chamber,,0
Ivan,67,1,12/8/2020,Chamber,,0
Narjess,69,0,12/8/2020,Chamber,,0
Fedor,150,1,12/15/2020,Chamber,0,0
Andrew,100,1,12/15/2020,Chamber,1,0
Olha,30,0,12/15/2020,Chamber,0,0
Svetlana,130,0,12/15/2020,Chamber,0,0
Marwan,55,1,12/15/2020,Chamber,0,0
Alex,68,1,12/15/2020,Chamber,0,0
Marwan,48,1,12/22/2020,Chamber,,0
Ivan,155,1,12/22/2020,Chamber,,0
Kostya,98,1,12/22/2020,Chamber,,0
Oksana,98,0,12/22/2020,Chamber,,0
Dennis,97,1,12/22/2020,Chamber,,0
Dounia,120,0,12/22/2020,Chamber,,0
Olena,146,0,12/22/2020,Chamber,,0
Narjess,123,0,12/22/2020,Chamber,,0
Fedor,158,1,12/22/2020,Chamber,,0
Alex,134,1,12/22/2020,Chamber,,0
Marwan,41,1,1/19/2021,Chamber,,0
Kostya,76,1,1/19/2021,Chamber,,0
Dounia,91,0,1/19/2021,Chamber,,0
Nataly,61,0,1/19/2021,Chamber,,0
Oleksandr,68,1,1/19/2021,Chamber,,0
Andrew,133,1,1/19/2021,Chamber,,0
Halyna,67,0,1/19/2021,Chamber,,0
Iryna,48,0,1/19/2021,Chamber,,0
Roman,60,1,1/19/2021,Chamber,,0
Olena,107,0,1/19/2021,Chamber,,0
Maryna,64,0,2/2/2021,Chamber,1,0
Oleksandr,31,1,2/2/2021,Chamber,0,0
Nataly,71,0,2/2/2021,Chamber,0,0
Andrew,73,1,2/2/2021,Chamber,0,0
Fedor,184,1,2/2/2021,Chamber,0,0
Tati,99,0,2/2/2021,Chamber,0,0
Vitaliy,78,1,2/2/2021,Chamber,0,0
Vitaliy,45,1,2/9/2021,Chamber,0,0
Alex,95,1,2/9/2021,Chamber,0,0
Fedor,110,1,2/9/2021,Chamber,0,0
Narjess,75,0,2/9/2021,Chamber,0,0
Alex,83,1,2/9/2021,Chamber,0,0
Alex,54,1,2/9/2021,Chamber,0,0
Lubov,35,0,2/9/2021,Chamber,0,0
Diana,85,0,2/9/2021,Chamber,0,0
Kostya,90,1,2/9/2021,Chamber,0,0
Olena,115,0,2/9/2021,Chamber,1,0
Ian,105,1,2/24/2021,Camanava Brunch TMC,,0
Apay,119,,2/24/2021,Camanava Brunch TMC,,0
JJ,30,,2/24/2021,Camanava Brunch TMC,,0
River,57,1,2/24/2021,Camanava Brunch TMC,,0
Gerard,49,1,2/24/2021,Camanava Brunch TMC,,0
Joel,53,1,2/24/2021,Camanava Brunch TMC,,0
Gulnar,127,0,3/10/2021,Chamber,0,0
Dennis,107,1,3/10/2021,Chamber,0,0
Kate,117,0,3/10/2021,Chamber,0,0
Ivan,148,1,3/10/2021,Chamber,1,0
Alex,103,1,3/10/2021,Chamber,0,0
Tati,125,0,3/10/2021,Chamber,0,0
Lubov,55,0,3/10/2021,Chamber,0,0
Ruslan,100,1,3/10/2021,Chamber,0,0
Dounia,134,0,3/31/2021,Chamber,,0
Dennis,139,1,3/31/2021,Chamber,,0
Marwan,129,1,3/31/2021,Chamber,,0
Alex,117,1,3/31/2021,Chamber,,0
Svetlana,155,0,3/31/2021,Chamber,,0
Tati,136,0,3/31/2021,Chamber,,0
Fedor,188,1,3/31/2021,Chamber,,0
Dennis,103,1,4/21/2021,Chamber,,0
Fedor,167,1,4/21/2021,Chamber,,0
Ivan,126,1,4/21/2021,Chamber,,0
Fedor,113,1,4/24/2021,Eclectic Image Toastmasters,,0
Bernard,75,1,4/24/2021,Eclectic Image Toastmasters,,0
Dan,86,1,4/24/2021,Eclectic Image Toastmasters,,0
Carol,93,1,4/24/2021,Eclectic Image Toastmasters,,0
Huilnar ,157,0,4/24/2021,Eclectic Image Toastmasters,,0
Amir,69,0,4/24/2021,Eclectic Image Toastmasters,,0
Victoria,215,0,4/28/2021,Chamber,,0
Svetlana,85,0,4/28/2021,Chamber,,0
Sofia,75,0,4/28/2021,Chamber,,0
Olha,72,0,4/28/2021,Chamber,,0
Marwan,65,1,4/28/2021,Chamber,,0
Daria,85,0,4/28/2021,Chamber,,0
Ivan,140,1,4/28/2021,Chamber,,0
Olena,75,0,4/28/2021,Chamber,,0
Liliya,218,0,5/12/2021,Chamber,0,0
Svetlana,184,0,5/12/2021,Chamber,0,0
Olha,92,0,5/12/2021,Chamber,0,0
Olena,90,0,5/12/2021,Chamber,0,0
Tati,132,0,5/12/2021,Chamber,1,0
Alex,122,1,5/12/2021,Chamber,0,0
Sofia,121,0,6/9/2021,Chamber,0,0
Lesia,108,0,6/9/2021,Chamber,1,0
Mykhailo,89,1,6/9/2021,Chamber,0,0
Maksym,125,1,6/9/2021,Chamber,0,0
Irulan,98,1,6/9/2021,Chamber,0,0
Victoria,60,0,6/23/2021,Chamber,0,0
Ksenia,55,0,6/23/2021,Chamber,0,0
Michael,51,1,6/23/2021,Chamber,0,0
Andrew,63,1,6/23/2021,Chamber,0,0
Halyna,104,0,6/23/2021,Chamber,1,0
Danylo,40,0,6/23/2021,Chamber,0,0
Kostya,40,1,6/23/2021,Chamber,0,0
Yuriy,105,1,6/30/2021,Chamber,,0
Ivan,102,1,6/30/2021,Chamber,,0
Liliya,52,0,6/30/2021,Chamber,,0
Irulan,113,1,6/30/2021,Chamber,,0
Kostya,50,1,6/30/2021,Chamber,,0
Ruslan,75,1,6/30/2021,Chamber,,0
Yulia,64,0,7/7/2021,Chamber,0,0
Svetlana,30,0,7/7/2021,Chamber,0,0
Dennis,56,1,7/7/2021,Chamber,0,1
Liliya,145,0,7/7/2021,Chamber,0,1
Dounia,146,0,7/7/2021,Chamber,0,1
Kostyantyn,134,1,7/7/2021,Chamber,0,1
Ksenia,117,0,7/7/2021,Chamber,1,1
Yana,113,0,7/14/2021,Chamber,0,1
Ruslan,140,1,7/14/2021,Chamber,0,0
Ivan,145,1,7/14/2021,Chamber,0,0
Ruslan,53,1,7/14/2021,Chamber,0,0
Liliya,96,0,7/14/2021,Chamber,0,0
Michael,120,1,7/14/2021,Chamber,0,0
Artem,180,1,7/14/2021,Chamber,1,0
Dounia,110,0,7/21/2021,Chamber,,0
Michael,110,1,7/21/2021,Chamber,,1
Nataly,70,0,7/21/2021,Chamber,,1
Anna,140,0,7/21/2021,Chamber,,1
Marta,105,0,7/25/2021,Changemakers,,1
Bijay,105,0,7/25/2021,Changemakers,,1
Artem,121,1,7/25/2021,Changemakers,,1
Victoria,85,0,7/25/2021,Changemakers,,1
Yulia,132,0,7/25/2021,Changemakers,,0
Heni,160,0,7/25/2021,Changemakers,,0
Genia,90,0,8/4/2021,Chamber,0,0
Olena,45,0,8/4/2021,Chamber,0,0
Kostya,115,1,8/4/2021,Chamber,0,0
Maksym,130,1,8/4/2021,Chamber,0,0
Ihor,115,1,8/4/2021,Chamber,0,0
Yulia,90,0,8/4/2021,Chamber,1,0
Anna,120,0,8/11/2021,Chamber,,0
Ruslan,85,1,8/11/2021,Chamber,,0
Dennis,120,1,8/11/2021,Chamber,,0
Andrew,135,1,8/11/2021,Chamber,,0
Victoria,120,0,8/11/2021,Chamber,,0
Liliya,69,0,8/18/2021,Chamber,,0
Victoria,120,0,8/18/2021,Chamber,,0
Halyna,112,0,8/18/2021,Chamber,,0
Fedor,115,1,8/18/2021,Chamber,,1
Yuriy,108,1,8/18/2021,Chamber,,1
Omae,157,0,8/18/2021,Mieki TMC,,1
Khuyen,120,1,8/18/2021,Mieki TMC,,1
Hide,120,1,8/18/2021,Mieki TMC,,1
Kunishio,99,1,8/18/2021,Mieki TMC,,0
Tsuboshima,144,0,8/18/2021,Mieki TMC,,0
